NRC;Periodo;Asignatura;Momento;Salon;Tipo;Id_Docente;Responsable;Sede_Docente;Ubicaci¢n;Tipo_Curso;Plantilla;Total_Alistamiento;Total_Ejecucion;Total_Curso;Valoracion;Email_Enviado
30-66447;202430;Estad°stica para las Cienc I;3;302;1;987846;ESP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
30-66449;202430;Desarrollo Social Contempor†ne;3;203;1;985935;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;SI
30-66453;202430;Desarrollo Social Contempor†ne;3;202;1;953732;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-66452;202430;Desarrollo Social Contempor†ne;3;303;1;953732;CED;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-66454;202430;Desarrollo Social Contempor†ne;3;302;1;984444;CED;IBA;IBA;PP;INNOVAME;45;50;95;Desempe§o Excelente;SI
30-66455;202430;Enfoque Cognitivo;3;203;1;36332382;LPID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66456;202430;Enfoque Cognitivo;3;202;1;405853;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66457;202430;Enfoque Cognitivo;3;303;1;479699;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66458;202430;Enfoque Cognitivo;3;302;1;367778;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66459;202430;Enfoque Humanista;3;203;1;483499;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66460;202430;Enfoque Humanista;3;202;1;479699;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66463;202430;Enfoque Humanista;3;303;1;539548;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66462;202430;Enfoque Humanista;3;204;1;483499;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66463;202430;Sensaci¢n Percepci¢n y Atenci¢;3;303;1;445883;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66465;202430;Sensaci¢n Percepci¢n y Atenci¢;3;302;1;764786;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66467;202430;Sensaci¢n Percepci¢n y Atenci¢;3;203;1;539548;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66468;202430;Sensaci¢n Percepci¢n y Atenci¢;3;202;1;445883;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66469;202430;Personalidad;3;203;1;36332382;LPID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66473;202430;Personalidad;3;303;1;367778;PSID;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;-
30-66472;202430;Personalidad;3;305;1;695633;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66473;202430;Personalidad;3;204;1;695633;PSID;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-66476;202430;Com Escrita y Proce Lect I;3;B3-304;1;936393;CSOD;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-66477;202430;Proyecto de Vida;3;B2-304;1;402379;LPID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66622;202430;Electiva Cpc;3;3;1;986093;ISUM;LERIDA;NORTE;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66624;202430;Electiva Cpc;3;B2-303;1;986003;ISUM;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-66625;202430;Electiva Cpc;3;B2-302;1;676367;ISUM;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66626;202430;Estructura de Datos;3;B2-303;1;575655;ISUM;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66627;202430;Electiva Cpc;3;B3-307;1;676367;ISUM;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-66628;202430;Estructura de Datos;3;B2-302;1;575655;ISUM;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;SI
30-66834;202430;Inducci¢n 2 Nuevos;3;VIRTU;2;0;-;No Encontrada;-;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
30-67280;202430;Com Escrita y Proce Lect I;3;302;1;764485;CSOD;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-67283;202430;Taller Creativo;3;305;1;932047;TRAU;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-67282;202430;Fundamentos de la Comunicaci¢n;3;203;1;803692;CSOD;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-67322;202430;Fotograf°a Digital;3;SALA B;1;838355;CSOD;IBA;IBA;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-67324;202430;Proyecto de Vida;3;303;1;535293;CSOD;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-67325;202430;An†lisis y Critica Audiovisual;3;302;1;802606;CSOD;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-67338;202430;Fundamentos de Matem†ticas;3;SALA B;1;987846;ESP;IBA;IBA;PP;INNOVAME;35;50;85;Desempe§o Bueno;SI
30-67339;202430;Com Escrita y Proce Lect I;3;B3-303;1;803692;CSOD;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-67439;202430;Introducci¢n a la Activ Tur°st;3;B3-302;1;984452;AETH;IBA;IBA;PP;CRIBA;36,35384635;50;86,35384635;Desempe§o Bueno;SI
30-67420;202430;Proyecto de Vida;3;B3-305;1;370873;AEMD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-67422;202430;Estad°stica Descriptiva;3;B3-303;1;873405;ADFU;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-67423;202430;Gerencia del Talento Humano;3;B3-306;1;532764;ADFU;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-67424;202430;êtica Profesional;3;LAB;1;340923;LPID;IBA;IBA;PP;INNOVAME;50;50;300;Desempe§o Excelente;-
30-67425;202430;Gesti¢n de Agencias de Viajes;3;B3-302;1;946743;AETH;IBA;IBA;PP;CRIBA;36,35384635;50;86,35384635;Desempe§o Bueno;SI
30-67496;202430;Prec†lculo;3;2;1;958058;ISUM;LERIDA;NORTE;PP;CRIBA;47,69230769;50;97,69230769;Desempe§o Excelente;SI
30-67497;202430;Prec†lculo;3;SALA B;1;93383376;COPD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-67499;202430;Prec†lculo;3;B3-303;1;93383376;COPD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-67906;202430;Programaci¢n B†sica;3;SALA A;1;986003;ISUM;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-67936;202430;Pr†ctica Profesional 3;4;VIRTU;2;678568;CED;IBA;IBA;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
30-67937;202430;Opci¢n de Grado;4;VIRTU;2;678568;CED;IBA;IBA;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
30-67938;202430;Electiva Cpc;4;VIRTU;2;678568;CED;IBA;IBA;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
30-67939;202430;Cmd Derechos Humanos;4;VIRTU;2;678568;CED;IBA;IBA;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
33-335;202433;Seguridad y Salud Laboral;3;B3-303;1;987823;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-336;202433;Fundamentos de Ergonom°a;3;B3-303;1;877868;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-337;202433;Electiva I;3;B3-303;1;953947;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-338;202433;Fisiolog°a del Trabajo;3;B3-303;1;656359;ASOD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-339;202433;Antropometr°a;3;B3-303;1;948524;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-320;202433;Biomec†nica;3;B3-303;1;877868;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-322;202433;Epidemiolog°a en Ergonom°a;3;B3-302;1;948524;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-323;202433;Proyecto de Grado;3;B3-302;1;738598;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-324;202433;Psicolog°a y Sociolog°a del Tr;3;B3-303;1;538334;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-222;202433;MÇtodos de Evaluaci¢n;3;B3-302;1;877868;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-56343;202433;Dise§o y Ergonom°a de Puestos;3;B3-303;1;877868;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-66282;202433;Inducci¢n 2 Nuevos;3;VIRTU;2;85207;Mercadeo;IBA;IBA;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
33-66393;202433;Tcias Act Dllo Hum Organizacio;3;SALA C;1;538334;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-66425;202433;Comp êtica Organ y Gest Cambio;3;SALA C;1;538334;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-66426;202433;Direc EstratÇgi Gesti¢n Humana;3;VIRTU;2;846904;ESP;IBA;IBA;PP;CRIBA;50;0;50;Desempe§o insatisfactorio;-
33-66427;202433;Prosp Financier Gesti¢n Humana;3;B3-302;1;833599;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-66428;202433;Metodolog°a de la Investigaci¢;3;SALA C;1;478259;AEMD;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
33-66429;202433;Electiva I;3;B3-302;1;538334;ESP;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
32-336;202432;Contabilidad General;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-337;202432;Servicio al Cliente;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-323;202432;InglÇs II;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-322;202432;Pr†cticas Formativa;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-329;202432;Fundamen de Costos e Inventari;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-333;202432;InglÇs II;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-332;202432;Emprendimiento;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-333;202432;Bienestar del Talento Humano;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-334;202432;Servicio al Cliente;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-335;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-336;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-337;202432;Contabilidad General;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-343;202432;InglÇs II;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-343;202432;Pr†cticas;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-345;202432;Comunicaci¢n y Servicio;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-346;202432;InglÇs II;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-347;202432;Emprendimiento;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-348;202432;Pr†cticas Formativa;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-349;202432;Bienestar del Talento Humano;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-350;202432;InglÇs II;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-353;202432;Fundamen de Costos e Inventari;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-352;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-353;202432;Servicio al Cliente;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-354;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-355;202432;Organizaci¢n de Eventos;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-356;202432;Contabilidad General;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-357;202432;Emprendimiento;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-358;202432;Etapa Pr†ctica;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-360;202432;Procedimiento Operativo Sst;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-363;202432;Normatividad Ssgt;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-362;202432;Gesti¢n del Riesgo de Desastre;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-379;202432;Derechos de la Primera Infanci;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-380;202432;Atenci¢n en la Educaci¢n Infan;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-383;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-382;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-482;202432;C†tedra Minuto de Dios;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-483;202432;Mantenimiento Correctivo;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-484;202432;Pr†cticas;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-485;202432;Mantenimiento Preventivo;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-486;202432;Normatividad;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-487;202432;C†tedra Minuto de Dios;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-488;202432;C†tedra Minuto de Dios;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-489;202432;C†tedra Minuto de Dios;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-490;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-493;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-492;202432;Salud en la Primera Infancia;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-493;202432;C†tedra Minuto de Dios;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-494;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-495;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-496;202432;C†tedra Minuto de Dios;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-497;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-498;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-499;202432;Fundamen de Costos e Inventari;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-503;202432;InglÇs II;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-502;202432;C†tedra Minuto de Dios;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-503;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-504;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-508;202432;Pr†cticas Formativa;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-509;202432;Fundamen de Costos e Inventari;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-533;202432;InglÇs II;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-532;202432;Servicio al Cliente;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-533;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-534;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-535;202432;Emprendimiento;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-557;202432;Emprendimiento;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-558;202432;Procedimientos TÇcnicos;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-560;202432;Bienestar del Talento Humano;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-563;202432;Fundamentos y Normatividad Tur;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-566;202432;Bienestar del Talento Humano;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-567;202432;Pr†cticas Formativa;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-576;202432;Servicio al Cliente;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-577;202432;Contabilidad General;3;VIRTU;2;0;-;No Encontrada;-;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
32-578;202432;Bienestar del Talento Humano;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-579;202432;Bienestar del Talento Humano;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-584;202432;Gesti¢n Administrativa;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-585;202432;Siembra de Cultivos;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-586;202432;InglÇs I;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
32-587;202432;Proyecto de Vida;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-588;202432;Emprendimiento;3;VIRTU;2;0;-;No Encontrada;-;PD;CRIBA;50;35;85;Desempe§o Bueno;-
32-629;202432;Fotograf°a para Multimedia;3;VIRTU;2;0;-;No Encontrada;-;PD;;0;0;0;No evaluada;-
35-3376;202435;Fundamentos de las Ciencias Na;2;302;1;622390;LPID;IBA;IBA;PD;INNOVAME;50;30;80;Desempe§o Bueno;-
35-3380;202435;Matem†ticas;2;SALA B;1;986552;LCNA;IBA;IBA;PD;INNOVAME;50;30;80;Desempe§o Bueno;-
35-3397;202435;Estad°stica Descriptiva;2;SALA A;1;93383376;COPD;IBA;IBA;PD;INNOVAME;50;30;80;Desempe§o Bueno;-
35-3880;202435;Desarrollo Social Contempor†ne;2;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3883;202435;Desarrollo Social Contempor†ne;1;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;40;35;75;Desempe§o Aceptable;SI
35-3883;202435;Desarrollo Social Contempor†ne;1;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;35;35;70;Desempe§o Aceptable;SI
35-3884;202435;Desarrollo Social Contempor†ne;2;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3885;202435;Desarrollo Social Contempor†ne;2;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3886;202435;Desarrollo Social Contempor†ne;2;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3887;202435;Desarrollo Social Contempor†ne;1;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;40;35;75;Desempe§o Aceptable;SI
35-3888;202435;Respon Social Practica de Vida;3;VIRTU;2;984444;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3889;202435;Respon Social Practica de Vida;3;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3893;202435;Respon Social Practica de Vida;3;VIRTU;2;953732;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3892;202435;Respon Social Practica de Vida;3;VIRTU;2;984444;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3894;202435;Respon Social Practica de Vida;3;VIRTU;2;694238;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3895;202435;Respon Social Practica de Vida;3;VIRTU;2;694238;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3896;202435;Respon Social Practica de Vida;3;VIRTU;2;694238;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3897;202435;Desarrollo Social Contempor†ne;1;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;40;35;75;Desempe§o Aceptable;SI
35-3898;202435;Desarrollo Social Contempor†ne;1;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;40;35;75;Desempe§o Aceptable;SI
35-3900;202435;Desarrollo Social Contempor†ne;2;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3903;202435;Desarrollo Social Contempor†ne;2;VIRTU;2;439733;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3903;202435;Resoluci¢n Conflictos;1;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3904;202435;Resoluci¢n Conflictos;1;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3905;202435;Resoluci¢n Conflictos;2;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3906;202435;Resoluci¢n Conflictos;2;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3908;202435;Resoluci¢n Conflictos;1;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3909;202435;Resoluci¢n Conflictos;1;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3930;202435;Resoluci¢n Conflictos;2;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3933;202435;Resoluci¢n Conflictos;2;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3933;202435;Resoluci¢n Conflictos;2;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3934;202435;Respon Social Practica de Vida;3;VIRTU;2;65780309;CED;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3930;202435;Finanzas P£blicas;2;B3-306;1;685287;COPD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3933;202435;Costos II;2;B3-307;1;872553;COPD;LERIDA;NORTE;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3932;202435;Estad°stica Descriptiva;1;B3-302;1;93383376;COPD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3934;202435;Microeconom°a;1;B3-303;1;580459;AEMD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3935;202435;Finanzas P£blicas;1;B3-303;1;685287;COPD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3936;202435;Contabilidad Financiera III;3;SALA C;1;764492;COPD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3937;202435;Legislaci¢n Comercial;1;VIRTU;2;866970;COPD;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3939;202435;Procesos Administrativos;2;VIRTU;2;477338;AEMD;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3940;202435;Estad°stica Descriptiva;2;B3-302;1;93383376;COPD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3944;202435;Costos II;1;SALA B;1;872553;COPD;LERIDA;NORTE;PD;INNOVAME;50;40;90;Desempe§o Bueno;SI
35-3952;202435;Legislaci¢n Comercial;1;VIRTU;2;866970;COPD;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3956;202435;C¢digo êtica de la Ifac;2;B3-303;1;490573;COPD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3957;202435;Responsabilidad Control Social;1;B3-302;1;685287;COPD;IBA;IBA;PD;INNOVAME;50;30;80;Desempe§o Bueno;-
35-3958;202435;Procesos Administrativos;2;VIRTU;2;477338;AEMD;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
35-3962;202435;Microeconom°a;2;B3-306;1;33228452;AEMD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
35-3965;202435;Contabilidad Financiera III;3;SALA C;1;764492;COPD;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
